trade_id,stock_id,action,price,volume,timestamp,pnl
1,ADANIPORTS,BUY,1835.5,1,2026-07-01T09:58:17.046158,0.0
2,ASIANPAINT,BUY,2669.4,1,2026-07-01T09:58:17.047115,0.0
3,BAJAJ-AUTO,BUY,9878.5,1,2026-07-01T09:58:17.047626,0.0
4,BRITANNIA,BUY,5233.0,1,2026-07-01T09:58:17.048114,0.0
5,DABUR,BUY,434.8,1,2026-07-01T09:58:17.048617,0.0
6,GODREJCP,BUY,1035.9,1,2026-07-01T09:58:17.049265,0.0
7,HEROMOTOCO,BUY,4886.7,1,2026-07-01T09:58:17.050026,0.0
8,INDUSINDBK,BUY,938.35,1,2026-07-01T09:58:17.051354,0.0
9,NESTLEIND,BUY,1444.9,1,2026-07-01T10:14:35.899805,0.0
10,BRITANNIA,BUY,5225.0,1,2026-07-01T10:14:35.900431,0.0
11,TITAN,BUY,4459.0,1,2026-07-01T10:14:35.904033,0.0
12,AXISBANK,BUY,1363.3,1,2026-07-01T10:14:35.905268,0.0
13,GODREJCP,BUY,1037.7,1,2026-07-01T10:14:35.905971,0.0
14,ZENSARTECH,BUY,436.8,1,2026-07-01T10:14:35.907062,0.0
15,INTERNET,BUY,12.75,1,2026-07-01T10:14:35.907658,0.0
16,PILANIINVS,BUY,4423.9,1,2026-07-01T10:14:35.908269,0.0
17,TRIVENI,BUY,448.5,1,2026-07-01T10:14:35.908861,0.0
18,ZEEL,BUY,110.56,1,2026-07-01T10:14:35.909971,0.0
